timestamp,day,phase,drone_id,state,x,y,z,battery_pct,pollinated_count
1779763931.945,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763932.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763932.444,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763932.945,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763932.945,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763933.445,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763933.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763933.945,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763933.945,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763934.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763934.444,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763934.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763934.945,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763935.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763935.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763935.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763935.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763936.445,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763936.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763936.945,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763936.945,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763937.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763937.444,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763937.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763937.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763938.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763938.444,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763938.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763938.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763939.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763939.444,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763939.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763939.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763940.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763940.444,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763940.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763940.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763941.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763941.444,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763941.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763941.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763942.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763942.444,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763942.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763942.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763943.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763943.444,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763943.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763943.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763944.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763944.444,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763944.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763944.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763945.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763945.444,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763945.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763945.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763946.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763946.444,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763946.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763946.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763947.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763947.444,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763947.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763947.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763948.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763948.444,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763948.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763948.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763949.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763949.444,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763949.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763949.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763950.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763950.444,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763950.945,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763950.945,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763951.445,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763951.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
